k_Init k_Turn N_R N_I Davg Dstd TimeAvg TimeStd AvFNR StdFNR AvFPR StdFPR
0.0 0.0 0 3 0.0 0.0 0.0009140158900117967 0.00048186348015422136 0.0 0.0 0.8935064935064935 0.02580028471991575
0.0 0.0 1 2 0.0 0.0 0.0007911777600747883 0.00036547211730782734 0.036294372294372296 0.05358876259857458 0.5964675324675324 0.4222704887395208
0.0 0.0 2 1 0.0 0.0 0.0008678205699652608 0.00046301587077764183 0.07175757575757577 0.05506946535857944 0.2985974025974026 0.4225231223814665
0.0 0.0 3 0 0.0 0.0 0.0007074847700096143 0.0003237852788714714 0.10649350649350649 0.025800284719915734 0.0 0.0
35.0 0.0 0 3 0.0 0.0 0.0008359934199143027 0.00039944076077919185 0.0 0.0 0.8935064935064935 0.02580028471991575
35.0 0.0 1 2 0.0 0.0 0.0008079099699716607 0.00040090753064458506 0.03392207792207792 0.04990684975699908 0.5940952380952381 0.4206421022556633
35.0 0.0 2 1 0.0 0.0 0.0007548965100613714 0.0003632506099380564 0.07044155844155844 0.05401924700044078 0.2972813852813853 0.4206894871628704
35.0 0.0 3 0 0.0 0.0 0.000739150000099471 0.0003262279519328713 0.10649350649350649 0.025800284719915734 0.0 0.0
0.0 10.0 0 3 0.0 0.0 0.0009006726100597007 0.0004952355823423826 0.0 0.0 0.8935064935064935 0.02580028471991575
0.0 10.0 1 2 0.0 0.0 0.0011535110200566123 0.0007588761823728111 0.035965367965367964 0.05308134940463239 0.5961385281385282 0.42204813605633795
0.0 10.0 2 1 0.0 0.0 0.000703330409978662 0.0003365086038928405 0.07051082251082251 0.05404211103213405 0.2973506493506493 0.4207906278182316
0.0 10.0 3 0 0.0 0.0 0.0007491365899659286 0.0003161072500266734 0.10649350649350649 0.025800284719915734 0.0 0.0
35.0 10.0 0 3 0.0 0.0 0.000747710899959202 0.000365482022627859 0.0 0.0 0.8935064935064935 0.02580028471991575
35.0 10.0 1 2 0.0 0.0 0.0007421744999919611 0.0003236730388326927 0.03535930735930736 0.05219317636221242 0.5955324675324676 0.42162953152520416
35.0 10.0 2 1 0.0 0.0 0.0006511250201583607 0.00029534622577944217 0.06933333333333334 0.05299036290799883 0.2961731601731602 0.41914899278264917
35.0 10.0 3 0 0.0 0.0 0.0007201254700157733 0.000350349445935574 0.10649350649350649 0.025800284719915734 0.0 0.0
