k_Init k_Turn N_R N_I Davg Dstd TimeAvg TimeStd AvFNR StdFNR AvFPR StdFPR
0 0 0 5 1.0 0.0 0.0018822383301994705 0.0007702521859926958 0.0 0.0 0.9177777777777778 0.07555555555555554
0 0 1 4 1.0 0.0 0.0017250877399965247 0.0007525349212708999 0.014799999999999999 0.04674830953568742 0.7325777777777778 0.3722231137634431
0 0 2 3 1.0 0.0 0.0018397248599285377 0.0007437737043195114 0.03175555555555555 0.061264288834685356 0.5495333333333333 0.4525341861446819
0 0 3 2 1.0 0.0 0.00196868002993142 0.0007288798265607232 0.05142222222222222 0.0716659052500465 0.3692 0.4547309631956998
0 0 4 1 1.0 0.0 0.0018659903700245196 0.0007203944695686007 0.0648 0.0745718445527533 0.18257777777777776 0.36678337805815725
0 0 5 0 1.0 0.0 0.0017747547599901736 0.0007836727281129259 0.08222222222222222 0.07555555555555556 0.0 0.0
5 0 0 5 1.0 0.0 0.001782920780005952 0.0007162213285129086 0.0 0.0 0.9177777777777778 0.07555555555555554
5 0 1 4 1.0 0.0 0.0017506331799086183 0.0007340436605188677 0.01768888888888889 0.048065716331078985 0.7354666666666667 0.3739893601180139
5 0 2 3 1.0 0.0 0.001845256319957116 0.0006936840654065517 0.03322222222222222 0.06188589659632367 0.551 0.45380012731989794
5 0 3 2 1.0 0.0 0.0018501536000985652 0.0007479331689173419 0.04855555555555555 0.07061379923198659 0.36633333333333334 0.45121141468356135
5 0 4 1 1.0 0.0 0.0018191070900320484 0.0007198444456675495 0.06544444444444444 0.07539353543365099 0.18322222222222223 0.36793482715969833
5 0 5 0 1.0 0.0 0.0017778799600091588 0.0007270096528891078 0.08222222222222222 0.07555555555555556 0.0 0.0
10 0 0 5 1.0 0.0 0.0018244590901122138 0.0006486603715179992 0.0 0.0 0.9177777777777778 0.07555555555555554
10 0 1 4 1.0 0.0 0.0018250577500657527 0.0006209439414329931 0.014711111111111112 0.04570844803996546 0.7324888888888889 0.37229190458862016
10 0 2 3 1.0 0.0 0.0018271965299209115 0.0006243265754993115 0.03233333333333334 0.06173809676846699 0.5501111111111111 0.4530034066315099
10 0 3 2 1.0 0.0 0.0018390233400168653 0.0006699210532118083 0.04531111111111111 0.0687129617402067 0.3630888888888889 0.4472569780835671
10 0 4 1 1.0 0.0 0.0018808612400425773 0.0006179844945301292 0.06262222222222222 0.07445232462438839 0.1804 0.3622986122585132
10 0 5 0 1.0 0.0 0.001850447249962599 0.0006888312382615134 0.08222222222222222 0.07555555555555556 0.0 0.0
20 0 0 5 1.0 0.0 0.0018456552301177 0.0006549876594044925 0.0 0.0 0.9177777777777778 0.07555555555555554
20 0 1 4 1.0 0.0 0.0017634807800277486 0.0006490787665143683 0.01548888888888889 0.04520292244458166 0.7332666666666666 0.3728796787367405
20 0 2 3 1.0 0.0 0.001861844119939633 0.0006174040028904624 0.03573333333333333 0.0635622995644897 0.5535111111111111 0.455850601473989
